N,P,K,temperature,humidity,ph,label
93,56,42,23.85754,82.25573,7.385763,Paddy
79,43,39,21.66628,80.70961,7.062779,Paddy
95,52,36,26.22917,83.83626,5.54336,Paddy
67,58,39,25.28272,80.54373,5.453592,Paddy
70,36,42,21.84107,80.72886,6.94621,Paddy
65,60,43,21.97199,81.89918,5.658169,Paddy
89,54,38,24.51588,83.53522,6.685346,Paddy
78,43,42,21.32376,83.0032,7.283737,Paddy
62,42,36,22.78134,82.06719,6.43001,Paddy
60,36,43,23.43122,83.0631,5.286204,Paddy
85,58,41,21.77046,80.31964,7.038096,Paddy
74,54,38,25.65553,83.47021,7.120273,Paddy
67,45,38,22.72791,82.17069,7.300411,Paddy
69,37,42,23.05805,83.37012,7.073454,Paddy
93,53,38,26.92995,81.91411,7.069172,Paddy
88,35,40,23.57944,83.5876,5.853932,Paddy
91,36,45,24.44345,82.45433,5.950648,Paddy
99,55,35,21.72383,80.23899,6.501698,Paddy
91,56,37,23.43192,80.56888,6.363472,Paddy
93,47,37,21.53346,82.14004,6.500343,Paddy
61,52,41,24.9767,83.89181,6.880431,Paddy
78,35,44,26.54348,84.67354,7.072656,Paddy
60,48,39,24.28209,80.30026,7.042299,Paddy
82,43,38,23.28617,81.43322,5.105588,Paddy
77,38,36,21.86525,80.1923,5.953933,Paddy
71,46,40,20.28019,82.12354,7.236705,Paddy
60,55,45,21.40866,83.32932,5.935745,Paddy
95,55,42,26.79534,82.14809,5.950661,Paddy
93,56,42,23.85724,82.22573,7.382763,Paddy
99,41,36,24.45802,82.74836,6.738652,Paddy
60,55,44,23.00446,82.32076,7.840207,Paddy
84,50,44,25.48592,81.40634,5.935344,Paddy
66,53,41,25.07564,80.52389,7.778915,Paddy
91,50,40,20.82477,84.13419,6.462392,Paddy
85,38,41,21.58712,82.78837,6.249051,Paddy
91,53,40,26.52724,81.41754,5.386168,Paddy
83,60,36,25.59705,80.14509,6.903986,Paddy
97,50,41,24.52923,80.54499,7.07096,Paddy
78,42,42,20.13017,81.60487,7.628473,Paddy
69,55,38,22.70884,82.63941,5.700806,Paddy
83,41,43,21.05254,82.6784,6.254028,Paddy
93,56,36,24.01498,82.05687,6.984354,Paddy
91,35,38,24.89728,80.52586,6.134287,Paddy
61,53,43,26.40323,81.05636,6.349606,Paddy
97,36,45,22.2287,81.85873,6.939084,Paddy
60,43,44,21.01945,82.95222,7.416245,Paddy
67,59,41,21.94767,80.97384,6.012633,Paddy
63,44,41,24.17299,83.72876,5.58337,Paddy
